run_id,rate,sender_failed,sender_ratio,capture_loss,capture_ratio,suri_drop,suri_ratio,offered,note
E6_0.5x_M01,0.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_0.5x_M02,0.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_0.5x_M03,0.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_0.5x_M04,0.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_0.5x_M05,0.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_1.0x_M01,1.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_1.0x_M02,1.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_1.0x_M03,1.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_1.0x_M04,1.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_1.0x_M05,1.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_2.0x_M01,2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_2.0x_M02,2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_2.0x_M03,2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_2.0x_M04,2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_2.0x_M05,2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_2.0x_M01,PP_2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_2.0x_M02,PP_2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_2.0x_M03,PP_2.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_4.0x_M01,PP_4.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_4.0x_M02,PP_4.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_4.0x_M03,PP_4.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_8.0x_M01,PP_8.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_8.0x_M02,PP_8.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_8.0x_M03,PP_8.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_16.0x_M01,PP_16.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_16.0x_M02,PP_16.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_16.0x_M03,PP_16.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_32.0x_M01,PP_32.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_32.0x_M02,PP_32.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_32.0x_M03,PP_32.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_64.0x_M01,PP_64.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_64.0x_M02,PP_64.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_64.0x_M03,PP_64.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_128.0x_M01,PP_128.0x,3,5.9e-05,0,0.0,22680,0.448027,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_128.0x_M02,PP_128.0x,3,5.9e-05,0,0.0,20829,0.411461,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_128.0x_M03,PP_128.0x,3,5.9e-05,0,0.0,19994,0.394967,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_96.0x_M01,PP_96.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_96.0x_M02,PP_96.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_96.0x_M03,PP_96.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_112.0x_M01,PP_112.0x,3,5.9e-05,0,0.0,23866,0.471455,50622,Counters at different layers MAY overlap. NOT summed.
